2023-05-06 10:58:34.637 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.1.Final
2023-05-06 10:58:34.644 [main] INFO  com.example.jingdong.RestaurantAssistantApplication - Starting JingdongApplication using Java 11.0.18 on yg with PID 174636 (D:\order\order-java-02\target\classes started by 52787 in D:\order\order-java-02)
2023-05-06 10:58:34.645 [main] INFO  com.example.jingdong.RestaurantAssistantApplication - The following 1 profile is active: "dev"
2023-05-06 11:13:33.014 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.1.Final
2023-05-06 11:13:33.015 [main] INFO  com.example.jingdong.RestaurantAssistantApplication - Starting JingdongApplication using Java 11.0.18 on yg with PID 120456 (D:\order\order-java-02\target\classes started by 52787 in D:\order\order-java-02)
2023-05-06 11:13:33.017 [main] INFO  com.example.jingdong.RestaurantAssistantApplication - The following 1 profile is active: "dev"
2023-05-06 11:13:33.721 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-06 11:13:33.721 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-05-06 11:13:33.821 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 95 ms. Found 11 JPA repository interfaces.
2023-05-06 11:13:33.833 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-05-06 11:13:33.834 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-05-06 11:13:33.848 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.jingdong.repository.AddressRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2023-05-06 11:13:33.848 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.jingdong.repository.OrderDetailRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
